"s","o"
"http://umbel.org/umbel/sc/Servant","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/decrees","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/decrees","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/permit","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/permit","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/supervise","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/supervise","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Duty","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/duty","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/duty","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q878070","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/compliance","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/compliance","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/lionize","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/supervision","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/supervision","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/duties","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/duties","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/dictated","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/dictated","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/elders","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/elders","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/emperors","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/emperors","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/commands","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/commands","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/acquiesced","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/acquiesced","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Emperor","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/Emperor","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/emperor","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/emperor","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://umbel.org/umbel/sc/Emperor_HeadOfState","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q39018","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/adheres","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/adheres","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/servants","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/servants","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/regulations","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/covenant","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/covenant","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/hierarchical","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/hierarchical","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/dominions","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/dictating","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/venerating","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/wear_the_crown","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/venerates","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/institution","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/monarchical","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/servant","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/decrees","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/permit","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/do_as_one_says","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/supervise","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/duty","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/compliance","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/lionize","https://w3id.org/spice/SON/HaidtValues#Authority"
