"s","o"
"http://yago-knowledge.org/resource/wordnet_track_record_100063310","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_field_goal_100188934","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_headstand_100437639","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_bull's_eye_100187144","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_base_hit_100131090","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_homer_100132355","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_purification_100252894","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_score_100186634","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_vindication_101241331","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_single_100132601","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_spare_100187890","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_accession_100236581","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_acrobatic_stunt_100438065","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_advent_100048828","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_attainment_100048656","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_back_circle_100434396","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_backbend_100434231","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_bell_ringer_100064789","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_blockbuster_100064151","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_break_100482892","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_cartwheel_100434657","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_conversion_100189106","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_coup_100065336","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_credit_100065855","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_deregulation_100805337","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_derring-do_100043116","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_double_100132756","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_emancipation_101247413","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_equalizer_100483098","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_flying_colors_100065418","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_goal_100187337","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_handspring_100437487","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_hat_trick_100190579","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_hit_100043902","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_hit_100064504","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_jail_delivery_100095873","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_line-drive_single_100131877","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_line-drive_triple_100132105","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_manumission_101247807","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_overturn_100068170","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_point_after_100189257","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_probation_101258251","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_purge_100252662","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_rally_100045646","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_relief_101075567","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_safety_100188620","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_seduction_100160532","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_semester_hour_100066075","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_sexual_conquest_100160688","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_somersault_100439484","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_split_100437929","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_stunt_100046344","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_success_100063652","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_touchdown_100188766","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_tour_de_force_100047018","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_tumble_100437788","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_underachievement_100047550","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_unsnarling_101244593","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_walkover_100434568","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_whitewash_101241594","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_winning_100064018","https://w3id.org/spice/SON/SchwartzValues#Achievement"
